spi_rank,continent,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
132,Africa,Zimbabwe,52.17,55.1,58.61,42.79,63.23,61.8,52.41,42.97,79.56,56.85,37.64,60.38,56.2,55.29,27.24,32.45
133,Africa,Comoros,52.11,60.94,52.17,43.23,69.53,62.44,59.97,51.8,58.11,42.54,44.11,63.94,55.1,46.12,44.23,27.49
134,Africa,Zambia,52.07,52.22,55.69,48.3,63.39,53.08,49.63,42.76,64.42,55.01,42.36,60.95,62.61,55.51,40.73,34.36
135,Asia,Syria,51.98,75.23,50.38,30.33,85.19,77.59,80.9,57.24,58.28,55.19,47.82,40.25,21.07,46.11,12,42.16
136,Africa,Togo,51.58,53.28,54.24,47.2,65.38,43.19,47.46,57.11,65.75,54.34,42.06,54.82,57.68,56.85,43.67,30.61
137,Asia,Myanmar,51.46,70.94,52.97,30.47,77.14,81.35,64.19,61.07,63.39,50.07,46.3,52.14,24.56,53.65,21.73,21.93
138,Africa,Cameroon,51.4,56.19,51.63,46.37,70.32,52.98,58.05,43.41,69.54,56.88,43.03,37.07,60.26,51.33,41.03,32.87
139,Asia,Pakistan,51.32,65.84,45.02,43.09,65.49,74.09,67.72,56.06,48.15,56.62,40.37,34.94,55.05,47.86,26,43.44
140,Asia,Laos,51.17,66.32,50.71,36.48,75.87,67.49,66.2,55.73,62.58,33.83,47.13,59.3,24.29,56.5,41.78,23.35
141,Africa,Sierra Leone,50.48,44.83,52.49,54.11,52.6,45.9,33.87,46.94,54.13,53.8,42.75,59.3,79.87,56.53,49.1,30.93
142,Africa,Burkina Faso,49.83,51.38,48.88,49.23,62.07,55.52,33.46,54.49,32.27,62.97,44.08,56.21,64.47,48.22,51.39,32.83
143,Africa,Djibouti,49.39,62.58,42.91,42.68,64.91,74.74,57.3,53.39,41.6,40.79,46.35,42.9,49.83,59.17,36.27,25.44
144,Africa,Uganda,49.34,53.93,54.63,39.47,74.97,59.18,45.12,36.44,68.78,48.42,45.13,56.17,47.99,48.37,27.78,33.73
145,Africa,Eswatini,49.19,57.79,54,35.76,69.39,52.86,69.48,39.45,66.03,54.41,40.59,54.98,27.96,57.29,29.18,28.62
146,Africa,Liberia,49.03,48.31,45.54,53.25,53.46,52.61,39.59,47.58,47.47,34.61,42,58.09,80.44,55.55,44.18,32.84
147,Africa,Mozambique,48.27,50.81,51.03,42.97,57.67,53.65,41.9,50.03,59.62,43.31,40.73,60.44,61.64,42.02,41.73,26.49
148,Oceania,Papua New Guinea,48.12,52.14,42.62,49.61,60.11,52.68,44.1,51.67,53.38,36.43,19.21,61.47,74.93,51.11,40.06,32.34
149,Africa,Congo,47.54,54.82,51.57,36.25,61.92,58.64,58.69,40.04,71.31,44.97,39.64,50.35,44.43,41.97,24.78,33.81
150,Africa,Ethiopia,47.43,51.66,46.17,44.46,66.68,41.35,47.53,51.08,46.35,32.72,47.78,57.83,61.06,54.18,29.39,33.2
151,Africa,Madagascar,47.07,45.67,49.47,46.06,56.28,32.45,41.5,52.46,66.81,39.89,34,57.19,68.51,51.27,34.13,30.32
152,Africa,Mali,46.93,52.29,44.81,43.68,65.1,53.67,42.25,48.14,25.3,58.06,39.61,56.29,65.28,39.45,44.08,25.89
153,Africa,Angola,46.87,54.18,47.02,39.41,67.83,44.25,56.1,48.54,53.47,42.42,38.23,53.95,56.19,50.78,25.71,24.96
154,Africa,Guinea-Bissau,46.65,46.45,44.56,48.94,64.97,34.49,36.56,49.77,42.5,48.84,33.43,53.46,72.68,54.56,39.39,29.12
155,Africa,Mauritania,46.6,58.59,46.53,34.68,66.33,54.5,59.24,54.28,44.48,54.08,45.11,42.46,48.99,45.3,19.59,24.84
156,Africa,Eq. Guinea,46.58,65.11,42.8,31.84,69.99,72.87,66.57,51.02,53.32,25.67,47.22,45,37.34,36.73,21.47,31.81
157,North America,Haiti,45.42,49.66,44.92,41.68,60.35,44.41,38.96,54.9,53.3,45.73,29.05,51.61,59.45,54.62,20.82,31.82
158,Africa,Sudan,45.41,62.42,42.06,31.75,75.05,57.69,63.84,53.09,45.77,47.05,41.78,33.66,31.43,39.77,21.49,34.33
159,Africa,Niger,43.14,47.21,37.47,44.74,58.23,46.23,33.32,51.08,24.95,39.39,42.91,42.61,69.99,34.76,49.68,24.51
160,Africa,Burundi,42.91,48.56,44.47,35.71,61.68,50.71,33.4,48.47,46.24,32.32,42.9,56.41,34.68,51.41,35.26,21.49
161,Africa,Dem. Rep. Congo,42.7,44.69,47.61,35.81,54.5,44.28,37.15,42.85,62,33.92,38.58,55.94,45.06,42.72,27.36,28.11
162,Africa,Guinea,42.41,49.13,45.56,32.54,57.8,55.8,38.5,44.43,34.77,57.99,33.1,56.38,40.89,39.84,26.82,22.59
163,Asia,Yemen,39.08,56.96,36.37,23.91,60.05,54.21,69.41,44.19,43.54,34.23,34.37,33.32,24.5,37.27,5.9,27.98
164,Asia,Afghanistan,37.34,53.69,32.6,25.73,60.78,61.74,59.76,32.47,35.43,40.39,23.19,31.39,26.11,30.81,18.13,27.85
165,Africa,Somalia,35.85,43.34,37.44,26.77,47.1,47.15,34.36,44.74,27.88,36.57,28.52,56.78,30.45,31.49,17.75,27.39
166,Africa,Eritrea,34.85,48.16,34.16,22.25,59.34,40.23,49.27,43.8,37.19,16.9,34.94,47.6,13.07,33.82,23.01,19.08
167,Africa,Chad,34.69,37.7,36.68,29.7,49.03,25.17,29.35,47.25,25.64,35.75,37.2,48.12,47.09,28.68,21.36,21.66
168,Africa,Central African Rep.,32.39,28.96,33.29,34.91,36.38,21.97,21.13,36.37,38.48,27.79,18.21,48.68,56.58,29.2,30.39,23.47
169,Africa,S. Sudan,30.65,38.7,30.05,23.19,58.87,32.67,27.61,35.67,27.24,8.16,29.89,54.9,32.36,28.64,14.13,17.64
